TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
53701.57831907272,24,1000.0,154827,40,3,"(1920, 1080)",1237.3773852373774,367517.0,94.47736578625955,0.0,32881.97718135346,523.4510226021769,14.858011217204307,"[237.77798423777796, 345.2623923452624, 661.1701686611701, 1237.3773852373774]"
54701.57831907272,25,1000.0,1540306,16,3,"(1920, 1080)",12310.125564310127,367517.0,78.20331453333333,0.0,28544.807114832838,5191.879451429931,15.450030201374043,"[1915.1069779151069, 4235.568196235568, 6693.5077986935075, 12310.125564310127]"
55701.57831907272,26,3998.4438717365265,954065,40,3,"(1920, 1080)",1906.2218719062218,314944.0,99.8296113,0.0,29913.20221248177,2832.0575791844813,6.931469681666672,"[335.2624023352624, 507.8596325078596, 987.2357769872358, 1906.2218719062218]"
59700.02219080925,27,1000.0,455219,33,3,"(1920, 1080)",3638.11025163811,366908.0,82.91966855833334,0.0,29403.951721430996,1385.989225464809,15.298063099999993,"[774.5446807745448, 1141.657201141657, 1929.8682019298683, 3638.11025163811]"
60700.02219080925,28,5404.646396636963,2167677,31,3,"(1920, 1080)",3208.162200612165,366908.0,99.0630964,0.0,28492.918931789613,6288.201854807699,16.20422774046296,"[648.6322486474187, 1012.6367959477597, 1654.4640040848003, 3208.162200612165]"
66104.66858744621,29,1000.0,233341,40,3,"(1920, 1080)",1864.861273864861,358372.0,99.1603243271605,0.0,28740.599112909873,765.3830803275866,23.855042816666668,"[336.03163233603163, 503.5279685035279, 978.3886329783886, 1864.861273864861]"
67104.66858744621,30,1000.0,250830,40,3,"(1920, 1080)",2004.6333620046332,358372.0,80.41610716666668,0.0,28962.306273540602,816.7528125728808,23.010717027160503,"[363.4681683634681, 543.7996565437996, 1044.802153044802, 2004.6333620046332]"
68104.66858744621,31,7519.761860370636,3260815,29,3,"(1920, 1080)",3459.3496721998013,358372.0,82.29921459999998,0.0,21010.316167833676,14667.298490273442,16.279808910766963,"[695.8376442836733, 1066.0928693411402, 1798.29552913893, 3459.3496721998013]"
75624.43044781685,32,1000.0,138102,40,2,"(1280, 720)",1103.7111851037112,363834.0,98.86903271238938,0.0,21534.970014207447,479.5517909700289,10.38098621666665,"[402.4691284024691, 596.9704325969705, 1103.7111851037112, 2032.1498180321496]"
76624.43044781685,33,1000.0,127130,40,2,"(1280, 720)",1016.0229610160229,363834.0,73.83645676666667,0.0,22081.03296928067,447.8079910936827,27.66711836238938,"[358.4092323584092, 534.0813845340813, 1016.0229610160229, 1921.1729059211727]"
77624.43044781685,34,3292.2801971435547,6201176,15,3,"(1920, 1080)",15018.122164391216,363834.0,72.4038287,0.0,9029.064802938168,18084.762829538762,17.55437354757576,"[2273.3924196478492, 5218.093526388588, 8190.444533849907, 15018.122164391216]"
80916.7106449604,35,3395.848870277405,184348,40,1,"(854, 480)",433.3262913619104,361073.0,99.89669870707071,0.0,11795.49351002132,614.9521234502644,11.064203087254903,"[284.2261113362126, 433.3262913619104, 843.1490481732549, 1640.4357638516508]"
84312.55951523781,36,1752.249389886856,699520,20,1,"(854, 480)",3164.470280219516,362945.0,52.679251225490205,0.0,11391.68223640493,2108.7835404958414,14.97548049008958,"[1614.2408400648033, 3164.470280219516, 4745.37995459262, 9145.876438772135]"
86064.80890512466,37,4599.716141819954,1018998,25,1,"(854, 480)",1770.3981123245098,362945.0,99.84243643396226,0.0,12884.025712192994,3036.361879916532,17.9325298991901,"[1046.9327987959878, 1770.3981123245098, 2689.1826769071395, 5433.324248225418]"
90664.52504694462,38,2942.2629177570343,811586,21,1,"(854, 480)",2186.358193394746,362151.0,97.0007583695652,0.0,13170.867869788244,2438.9636715943875,15.848514849692592,"[1062.1827052204378, 2186.358193394746, 3269.424266139015, 6585.286546903391]"
93606.78796470165,39,1000.0,100851,33,1,"(854, 480)",806.0011928060012,362151.0,97.98784316853934,0.0,13784.164698648918,373.13448635630186,22.601992536231876,"[529.6378325296379, 806.0011928060012, 1475.3471774753473, 2837.935226837935]"
