episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
236,764.7053,302.72,46,16.6240,2.5261
237,765.7450,288.47,44,17.4033,2.6545
238,771.0698,315.94,50,15.4214,2.4405
239,874.5842,315.19,52,16.8189,2.7748
240,754.1434,287.31,44,17.1396,2.6248
241,839.8685,329.49,53,15.8466,2.5490
242,762.1615,273.67,42,18.1467,2.7850
243,760.3281,315.26,49,15.5169,2.4118
244,874.9048,327.98,52,16.8251,2.6675
245,811.0997,312.12,52,15.5981,2.5987
246,840.7102,321.32,53,15.8625,2.6164
247,776.2625,286.54,47,16.5162,2.7091
248,678.4975,292.17,43,15.7790,2.3223
249,824.3048,308.62,50,16.4861,2.6710
250,655.7908,282.79,41,15.9949,2.3190
251,755.9266,301.28,48,15.7485,2.5091
252,801.5522,285.54,47,17.0543,2.8071
253,624.5706,242.08,36,17.3492,2.5800
254,713.1180,265.85,42,16.9790,2.6824
255,451.6642,274.41,42,10.7539,1.6459
256,795.8139,306.94,49,16.2411,2.5927
257,675.1151,274.34,39,17.3106,2.4609
258,892.2709,330.20,58,15.3840,2.7023
259,638.9912,292.05,43,14.8603,2.1879
260,309.3955,251.42,33,9.3756,1.2306
261,828.9632,295.70,45,18.4214,2.8034
262,618.1302,270.42,37,16.7062,2.2858
263,831.4908,322.47,57,14.5876,2.5785
264,774.6236,311.02,50,15.4925,2.4906
265,666.9094,271.46,40,16.6727,2.4568
266,672.1930,287.18,42,16.0046,2.3407
267,373.6725,282.88,42,8.8970,1.3210
268,611.1390,271.82,40,15.2785,2.2484
269,709.2641,288.36,43,16.4945,2.4596
270,756.9827,292.10,44,17.2042,2.5915
271,655.4982,295.45,44,14.8977,2.2186
272,859.8618,333.62,55,15.6339,2.5773
273,655.1098,262.93,39,16.7977,2.4916
274,774.8431,294.68,44,17.6101,2.6295
275,671.7958,296.20,46,14.6043,2.2681
276,727.5957,306.41,46,15.8173,2.3746
277,738.4935,302.29,45,16.4110,2.4430
278,743.9340,311.27,47,15.8284,2.3900
279,746.8638,303.00,46,16.2362,2.4649
280,615.0881,273.55,39,15.7715,2.2486
281,642.2666,285.91,42,15.2921,2.2464
282,687.2230,271.87,43,15.9819,2.5278
283,909.2162,306.34,53,17.1550,2.9680
284,685.5615,274.25,39,17.5785,2.4997
