File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lab_trace_14.txt.csv,Segue,1.59,0.85,52.86,98.01665830472923,1.18,4866.92076930658,3.15,0.58,0.04,107.41
lab_trace_3.txt.csv,Segue,1.59,0.84,52.57,97.95522212026313,1.21,4769.462421950487,3.15,0.88,0.06,106.17
HSDPA_trace_17.txt.csv,Segue,1.59,0.26,20.68,92.93872726647697,2.59,1385.2484894077766,3.15,7.25,0.21,33.27
ghent_trace_6.txt.csv,Segue,1.59,0.85,52.74,98.01665830472923,1.18,4866.92076930658,3.15,0.63,0.04,107.41
HSDPA_trace_13.txt.csv,Segue,1.59,0.31,24.07,93.55503037106622,2.45,1615.610335317779,3.15,5.90,0.29,39.95
ghent_trace_12.txt.csv,Segue,1.59,0.84,52.55,97.95522212026313,1.21,4769.462421950487,3.15,2.76,0.06,106.17
oboe_trace_0.txt.csv,Segue,1.59,0.39,26.82,94.72205259190902,2.58,1961.4489803126294,3.15,5.16,0.39,49.22
lab_trace_18.txt.csv,Segue,1.59,0.85,52.75,98.01665830472923,1.18,4866.92076930658,3.15,0.77,0.04,107.41
fcc18_trace_10.txt.csv,Segue,1.59,0.27,22.36,93.08333548970435,2.54,1413.047508581007,3.15,6.43,0.29,34.45
ghent_trace_20.txt.csv,Segue,1.59,0.84,52.59,97.95522212026313,1.21,4769.462421950487,3.15,0.82,0.06,106.17
hsr_trace_7.txt.csv,Segue,1.59,0.84,49.89,97.95522212026313,1.21,4769.462421950487,3.15,0.99,0.06,106.17
HSDPA_trace_19.txt.csv,Segue,1.59,0.18,16.02,91.4587168006029,2.88,981.7725707833455,3.15,7.85,0.14,22.97
fcc18_trace_5.txt.csv,Segue,1.59,0.74,40.24,97.57960371998516,1.46,4093.0498646663827,3.15,2.03,0.20,94.05
hsr_trace_15.txt.csv,Segue,1.59,0.83,50.45,97.95522212026313,1.21,4736.88923559878,3.15,0.80,0.07,105.40
lumos5g_trace_3.txt.csv,Segue,1.59,0.86,53.08,98.04176640115078,1.18,4925.084632543802,3.15,0.41,0.04,108.89
lab_trace_1.txt.csv,Segue,1.59,0.85,52.92,98.01665830472923,1.18,4866.92076930658,3.15,0.54,0.04,107.41
lab_trace_11.txt.csv,Segue,1.59,0.84,52.69,97.95522212026313,1.21,4769.462421950487,3.15,0.77,0.06,106.17
lumos5g_trace_2.txt.csv,Segue,1.59,0.85,53.07,98.01665830472923,1.18,4866.92076930658,3.15,0.45,0.04,107.41
fcc18_trace_1.txt.csv,Segue,1.59,0.68,34.34,97.13639327248387,1.64,3554.1448440591303,3.15,2.35,0.32,85.90
hsr_trace_0.txt.csv,Segue,1.59,0.70,37.53,97.1970775667309,1.39,3997.5998939943893,3.15,1.36,0.18,89.16
fcc18_trace_3.txt.csv,Segue,1.59,0.41,28.37,95.45033478551214,2.25,2137.9617869103145,3.15,3.87,0.36,51.96
HSDPA_trace_3.txt.csv,Segue,1.59,0.16,4.95,91.25279105449468,2.96,914.9862189658726,35.43,74.30,0.02,20.52
lab_trace_10.txt.csv,Segue,1.59,0.85,52.90,98.01665830472923,1.18,4866.92076930658,3.15,0.58,0.04,107.41
oboe_trace_3.txt.csv,Segue,1.59,0.64,34.31,97.06024174293755,1.72,3406.182269689653,3.15,2.40,0.31,81.09
fcc18_trace_20.txt.csv,Segue,1.59,0.41,27.97,95.25688356993784,2.36,2094.378521613911,3.15,5.90,0.35,51.50
